account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Cash;Restaurant, fast-food;BGN;-25.00;-25.00;Expenses;DEBIT_CARD;Debit card;Галакси ресторант;2022-04-03 19:31:59;;;;0;false;;;1001;false
Revolut;Restaurant, fast-food;BGN;5.00;5.00;Income;DEBIT_CARD;Debit card;Галакси Ресторант;2022-04-03 19:00:00;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;BGN;-15.00;-15.00;Expenses;DEBIT_CARD;Debit card;Гюрлата;2022-04-03 14:00:59;;;;0;false;;;1001;false
Revolut;Vape;BGN;-58.86;-58.86;Expenses;DEBIT_CARD;Debit card;Течности;2022-04-02 18:30:00;;;;0;false;;;6011;true
Revolut;Software, apps, games;BGN;-13.85;-13.85;Expenses;DEBIT_CARD;Debit card;Spotify;2022-04-02 12:00:15;;;;0;false;;;7003;false
Cash;Services;BGN;-112.00;-112.00;Expenses;CASH;Cash;Входни такси (Анна Феликсова) Март, Април + Депозит;2022-04-02 12:00:00;;;;0;false;;;3003;false
Cash;Energy, utilities;BGN;-167.00;-167.00;Expenses;TRANSFER;Bank transfer;Ток;2022-04-02 12:00:00;;;;0;false;;;3002;false
Revolut;Software, apps, games;BGN;-38.99;-38.99;Expenses;DEBIT_CARD;Debit card;Wallet premium lifetime;2022-04-02 02:06:27;;;;0;false;;;7003;false
Revolut;Groceries;BGN;-29.57;-29.57;Expenses;DEBIT_CARD;Debit card;;2022-04-01 12:00:09;;;;0;false;;;1000;false
Raiffeisenbank;Restaurant, fast-food;BGN;-39.95;-39.95;Expenses;DEBIT_CARD;Debit card;Амичи;2022-03-31 21:00:26;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;BGN;-15.00;-15.00;Expenses;DEBIT_CARD;Debit card;Закуски;2022-03-31 12:00:52;;;;0;false;;;1001;false
Raiffeisenbank;Charges, Fees;BGN;-3.50;-3.50;Expenses;DEBIT_CARD;Debit card;Поддръжка на сметка;2022-03-31 12:00:00;;;;0;false;;;8005;false
Revolut;Restaurant, fast-food;BGN;-26.35;-26.35;Expenses;DEBIT_CARD;Debit card;Амичи;2022-03-30 21:30:37;;;;0;false;;;1001;false
Cash;Restaurant, fast-food;BGN;-25.00;-25.00;Expenses;DEBIT_CARD;Debit card;Амичи;2022-03-29 15:32:17;;;;0;false;;;1001;false
Raiffeisenbank;Fuel;BGN;-182.33;-182.33;Expenses;DEBIT_CARD;Debit card;;2022-03-29 13:00:29;;;;0;false;;;5000;false
Raiffeisenbank;Groceries;BGN;-61.64;-61.64;Expenses;CASH;Cash;;2022-03-27 18:00:47;;;;0;false;;;1000;false
Cash;Restaurant, fast-food;BGN;-25.00;-25.00;Expenses;DEBIT_CARD;Debit card;Галакси ресторант;2022-03-27 16:00:01;;;;0;false;;;1001;false
Revolut;Groceries;BGN;-13.76;-13.76;Expenses;DEBIT_CARD;Debit card;;2022-03-27 13:00:42;;;;0;false;;;1000;false
Raiffeisenbank;Kids;BGN;-94.84;-94.84;Expenses;CASH;Cash;Памперси;2022-03-26 15:30:22;;;;0;false;;;2003;false
